query	blast_hit	evalue	ProteinNames	BiologicalProcess	GeneOntologyIDs	CellularComponent	MolecularFunction
Pocillopora_acuta_HIv2___RNAseq.g5869.t1	Q8CQD9	4.08e-12	Accumulation-associated protein		GO:0005576	extracellular region [GO:0005576]	
Pocillopora_acuta_HIv2___RNAseq.g3483.t1	Q3SZ76	9.95e-50	COMM domain-containing protein 3	sodium ion transport [GO:0006814]	GO:0005634; GO:0005737; GO:0006814	cytoplasm [GO:0005737]; nucleus [GO:0005634]	
Pocillopora_acuta_HIv2___RNAseq.g7681.t1	E9PY46	0	Intraflagellar transport protein 140 homolog (WD and tetratricopeptide repeats protein 2)	cilium assembly [GO:0060271]; determination of left/right symmetry [GO:0007368]; embryonic brain development [GO:1990403]; embryonic camera-type eye development [GO:0031076]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic digit morphogenesis [GO:0042733]; heart development [GO:0007507]; intraciliary retrograde transport [GO:0035721]; intraciliary transport [GO:0042073]; limb morphogenesis [GO:0035108]; neural tube patterning [GO:0021532]; non-motile cilium assembly [GO:1905515]; photoreceptor cell outer segment organization [GO:0035845]; protein localization to cilium [GO:0061512]; regulation of cilium assembly [GO:1902017]; regulation of smoothened signaling pathway [GO:0008589]	GO:0005654; GO:0005739; GO:0005813; GO:0005814; GO:0005929; GO:0005930; GO:0007368; GO:0007507; GO:0008589; GO:0021532; GO:0030991; GO:0031076; GO:0032391; GO:0035108; GO:0035721; GO:0035845; GO:0036064; GO:0042073; GO:0042733; GO:0048701; GO:0060271; GO:0061512; GO:0097730; GO:0120199; GO:1902017; GO:1905515; GO:1990403	axoneme [GO:0005930]; centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cone photoreceptor outer segment [GO:0120199]; intraciliary transport particle A [GO:0030991]; mitochondrion [GO:0005739]; non-motile cilium [GO:0097730]; nucleoplasm [GO:0005654]; photoreceptor connecting cilium [GO:0032391]	
Pocillopora_acuta_HIv2___RNAseq.2795_t	Q03049	5.76e-40	Putative uncharacterized oxidoreductase YDR541C (EC 1.1.1.-)	response to furfural [GO:1901426]	GO:0016616; GO:0033721; GO:1901426		aldehyde dehydrogenase (NADP+) activity [GO:0033721]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]
Pocillopora_acuta_HIv2___RNAseq.g30634.t1	Q7TNS2	1.58e-18	MICOS complex subunit Mic10 (Mitochondrial inner membrane organizing system protein 1)	cristae formation [GO:0042407]	GO:0005739; GO:0042407; GO:0061617	MICOS complex [GO:0061617]; mitochondrion [GO:0005739]	
Pocillopora_acuta_HIv2___RNAseq.g10465.t2	Q69ZN7	0	Myoferlin (Fer-1-like protein 3)	cellular response to heat [GO:0034605]; glycerol metabolic process [GO:0006071]; muscle cell development [GO:0055001]; plasma membrane repair [GO:0001778]; regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030947]; T-tubule organization [GO:0033292]	GO:0001778; GO:0005543; GO:0005901; GO:0006071; GO:0030659; GO:0030947; GO:0031965; GO:0033292; GO:0034605; GO:0046872; GO:0055001	caveola [GO:0005901]; cytoplasmic vesicle membrane [GO:0030659]; nuclear membrane [GO:0031965]	metal ion binding [GO:0046872]; phospholipid binding [GO:0005543]
Pocillopora_acuta_HIv2___RNAseq.g21524.t1	O70340	1.75e-21	Neuronal pentraxin-2 (NP2) (Neuronal pentraxin II) (NP-II)	associative learning [GO:0008306]	GO:0005576; GO:0008306; GO:0030246; GO:0045202; GO:0046872; GO:0098793; GO:0098978	extracellular region [GO:0005576]; glutamatergic synapse [GO:0098978]; presynapse [GO:0098793]; synapse [GO:0045202]	carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]
Pocillopora_acuta_HIv2___RNAseq.g24937.t1	Q5ZL91	0	Integrator complex subunit 7 (Int7)	DNA damage response [GO:0006974]; RNA polymerase II transcription initiation surveillance [GO:0160240]; snRNA 3'-end processing [GO:0034472]	GO:0005634; GO:0005694; GO:0005737; GO:0006974; GO:0032039; GO:0034472; GO:0160232; GO:0160240	chromosome [GO:0005694]; cytoplasm [GO:0005737]; INTAC complex [GO:0160232]; integrator complex [GO:0032039]; nucleus [GO:0005634]	
Pocillopora_acuta_HIv2___RNAseq.g28.t1	P0C5H6	6.88e-07	Protein turtle homolog A (Dendrite arborization and synapse maturation protein 1) (Immunoglobulin superfamily member 9A) (IgSF9A)	dendrite development [GO:0016358]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; regulation of synapse maturation [GO:0090128]; regulation of synapse organization [GO:0050807]	GO:0007156; GO:0016358; GO:0030424; GO:0030425; GO:0043005; GO:0050807; GO:0060077; GO:0090128; GO:0098632; GO:0098839; GO:0098978	axon [GO:0030424]; dendrite [GO:0030425]; glutamatergic synapse [GO:0098978]; inhibitory synapse [GO:0060077]; neuron projection [GO:0043005]; postsynaptic density membrane [GO:0098839]	cell-cell adhesion mediator activity [GO:0098632]
Pocillopora_acuta_HIv2___RNAseq.g54.t1	Q96T23	1.88e-39	Remodeling and spacing factor 1 (Rsf-1) (HBV pX-associated protein 8) (Hepatitis B virus X-associated protein) (p325 subunit of RSF chromatin-remodeling complex)	chromatin organization [GO:0006325]; chromatin remodeling [GO:0006338]; DNA-templated transcription initiation [GO:0006352]; negative regulation of DNA binding [GO:0043392]; negative regulation of DNA-templated transcription [GO:0045892]; nucleosome assembly [GO:0006334]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of viral transcription [GO:0050434]; regulation of DNA-templated transcription [GO:0006355]	GO:0005634; GO:0005654; GO:0006325; GO:0006334; GO:0006338; GO:0006352; GO:0006355; GO:0008270; GO:0031213; GO:0042393; GO:0043392; GO:0045892; GO:0045893; GO:0050434; GO:0140751	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RSF complex [GO:0031213]	histone binding [GO:0042393]; histone octamer slider activity [GO:0140751]; zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___RNAseq.g17691.t1	Q7RTR2	3.24e-30	NLR family CARD domain-containing protein 3 (CARD15-like protein) (Caterpiller protein 16.2) (CLR16.2) (NACHT, LRR and CARD domains-containing protein 3) (Nucleotide-binding oligomerization domain protein 3)	canonical NF-kappaB signal transduction [GO:0007249]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of inflammatory response [GO:0050728]; negative regulation of innate immune response [GO:0045824]; negative regulation of interferon-alpha production [GO:0032687]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of non-canonical NF-kappaB signal transduction [GO:1901223]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of tumor necrosis factor production [GO:0032720]; T cell activation [GO:0042110]	GO:0005524; GO:0005737; GO:0005829; GO:0007249; GO:0032088; GO:0032687; GO:0032688; GO:0032715; GO:0032720; GO:0034451; GO:0036312; GO:0042110; GO:0043124; GO:0043231; GO:0045824; GO:0048147; GO:0048471; GO:0050680; GO:0050728; GO:0051898; GO:1900016; GO:1900226; GO:1901223	centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; perinuclear region of cytoplasm [GO:0048471]	ATP binding [GO:0005524]; phosphatidylinositol 3-kinase regulatory subunit binding [GO:0036312]
Pocillopora_acuta_HIv2___RNAseq.g1087.t1	Q0VFM6	0	Mannose-1-phosphate guanylyltransferase regulatory subunit alpha (GDP-mannose pyrophosphorylase A) (GTP-mannose-1-phosphate guanylyltransferase alpha)	biosynthetic process [GO:0009058]	GO:0005737; GO:0009058; GO:0016740	cytoplasm [GO:0005737]	transferase activity [GO:0016740]
Pocillopora_acuta_HIv2___RNAseq.g1866.t1	Q9DCH2	2.22e-37	Ribonuclease P protein subunit p20 (RNaseP protein p20)	rRNA processing [GO:0006364]; tRNA 5'-leader removal [GO:0001682]	GO:0000172; GO:0001682; GO:0004526; GO:0005655; GO:0005730; GO:0005737; GO:0006364; GO:0030681; GO:0033204	cytoplasm [GO:0005737]; multimeric ribonuclease P complex [GO:0030681]; nucleolar ribonuclease P complex [GO:0005655]; nucleolus [GO:0005730]; ribonuclease MRP complex [GO:0000172]	ribonuclease P activity [GO:0004526]; ribonuclease P RNA binding [GO:0033204]
Pocillopora_acuta_HIv2___RNAseq.g28192.t1	O16025	0	Allene oxide synthase-lipoxygenase protein [Includes: Allene oxide synthase (AOS) (EC 4.2.1.-) (Hydroperoxidehydrase); Arachidonate 8-lipoxygenase (EC 1.13.11.40)]	arachidonate metabolic process [GO:0019369]; fatty acid biosynthetic process [GO:0006633]; lipid oxidation [GO:0034440]; oxylipin biosynthetic process [GO:0031408]	GO:0005506; GO:0005737; GO:0006633; GO:0009978; GO:0016020; GO:0019369; GO:0020037; GO:0031408; GO:0034440; GO:0047677	cytoplasm [GO:0005737]; membrane [GO:0016020]	allene oxide synthase activity [GO:0009978]; arachidonate 8(R)-lipoxygenase activity [GO:0047677]; heme binding [GO:0020037]; iron ion binding [GO:0005506]
Pocillopora_acuta_HIv2___RNAseq.g4116.t1	C5G6D7	1.27e-54	Chondroitin sulfate ABC exolyase (EC 4.2.2.21) (Chondroitin ABC exoeliminase) (Chondroitin ABC lyase II) (Chondroitin sulfate ABC lyase II) (ChS ABC lyase II) (Chondroitinase ABC II) (cABC II) (Exochondroitinase ABC)	carbohydrate metabolic process [GO:0005975]; dermatan sulfate proteoglycan catabolic process [GO:0030209]; glycosaminoglycan catabolic process [GO:0006027]	GO:0000287; GO:0005509; GO:0005576; GO:0005975; GO:0006027; GO:0030209; GO:0030246; GO:0034000; GO:0034001; GO:0042597	extracellular region [GO:0005576]; periplasmic space [GO:0042597]	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; chondroitin-sulfate-ABC endolyase activity [GO:0034000]; chondroitin-sulfate-ABC exolyase activity [GO:0034001]; magnesium ion binding [GO:0000287]
Pocillopora_acuta_HIv2___TS.g12438.t1	Q19673	2.59e-10	Putative tyrosinase-like protein tyr-3		GO:0004497; GO:0046872		metal ion binding [GO:0046872]; monooxygenase activity [GO:0004497]
Pocillopora_acuta_HIv2___RNAseq.g22768.t1	Q3SZI7	0	Conserved oligomeric Golgi complex subunit 6 (COG complex subunit 6) (Component of oligomeric Golgi complex 6)	glycosylation [GO:0070085]; intra-Golgi vesicle-mediated transport [GO:0006891]; protein transport [GO:0015031]	GO:0000139; GO:0006891; GO:0015031; GO:0017119; GO:0070085	Golgi membrane [GO:0000139]; Golgi transport complex [GO:0017119]	
Pocillopora_acuta_HIv2___RNAseq.g10384.t1	Q8JG38	7.16e-40	Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1)	angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; cartilage development [GO:0051216]; cell proliferation in midbrain [GO:0033278]; cilium assembly [GO:0060271]; determination of heart left/right asymmetry [GO:0061371]; determination of left/right asymmetry in lateral mesoderm [GO:0003140]; determination of liver left/right asymmetry [GO:0071910]; determination of pancreatic left/right asymmetry [GO:0035469]; digestive tract development [GO:0048565]; fibroblast growth factor receptor signaling pathway [GO:0008543]; forebrain generation of neurons [GO:0021872]; gliogenesis [GO:0042063]; midbrain development [GO:0030901]; pectoral fin development [GO:0033339]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of MAPK cascade [GO:0043410]; regulation of hematopoietic stem cell differentiation [GO:1902036]	GO:0001525; GO:0003140; GO:0005007; GO:0005524; GO:0005794; GO:0005886; GO:0006915; GO:0008284; GO:0008543; GO:0017134; GO:0021872; GO:0030901; GO:0031410; GO:0033278; GO:0033339; GO:0035469; GO:0042063; GO:0043235; GO:0043410; GO:0048565; GO:0051216; GO:0060271; GO:0061371; GO:0071910; GO:1902036	cytoplasmic vesicle [GO:0031410]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	ATP binding [GO:0005524]; fibroblast growth factor binding [GO:0017134]; fibroblast growth factor receptor activity [GO:0005007]
Pocillopora_acuta_HIv2___RNAseq.g28283.t1	C5G6D7	1.92e-43	Chondroitin sulfate ABC exolyase (EC 4.2.2.21) (Chondroitin ABC exoeliminase) (Chondroitin ABC lyase II) (Chondroitin sulfate ABC lyase II) (ChS ABC lyase II) (Chondroitinase ABC II) (cABC II) (Exochondroitinase ABC)	carbohydrate metabolic process [GO:0005975]; dermatan sulfate proteoglycan catabolic process [GO:0030209]; glycosaminoglycan catabolic process [GO:0006027]	GO:0000287; GO:0005509; GO:0005576; GO:0005975; GO:0006027; GO:0030209; GO:0030246; GO:0034000; GO:0034001; GO:0042597	extracellular region [GO:0005576]; periplasmic space [GO:0042597]	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; chondroitin-sulfate-ABC endolyase activity [GO:0034000]; chondroitin-sulfate-ABC exolyase activity [GO:0034001]; magnesium ion binding [GO:0000287]
Pocillopora_acuta_HIv2___RNAseq.g16944.t1	Q28021	0	Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)	actin cytoskeleton organization [GO:0030036]; actomyosin structure organization [GO:0031032]; cortical actin cytoskeleton organization [GO:0030866]; embryonic morphogenesis [GO:0048598]; mitotic cytokinesis [GO:0000281]; positive regulation of centrosome duplication [GO:0010825]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell junction assembly [GO:1901888]; regulation of circadian rhythm [GO:0042752]; Rho protein signal transduction [GO:0007266]; rhythmic process [GO:0048511]; smooth muscle contraction [GO:0006939]	GO:0000281; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005813; GO:0005829; GO:0005856; GO:0005886; GO:0006939; GO:0007266; GO:0008270; GO:0010825; GO:0030036; GO:0030866; GO:0031032; GO:0031267; GO:0032956; GO:0042752; GO:0048511; GO:0048598; GO:0072518; GO:0106310; GO:1901888	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; small GTPase binding [GO:0031267]; zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___RNAseq.g15054.t1	P27401	1.29e-08	Pro-Pol polyprotein (Pr125Pol) [Cleaved into: Protease/Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (EC 3.4.23.-) (p87Pro-RT-RNaseH); Protease/Reverse transcriptase (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.4.23.-) (p65Pro-RT); Ribonuclease H (RNase H) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-) (p42In)]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; establishment of integrated proviral latency [GO:0075713]; proteolysis [GO:0006508]; symbiont entry into host cell [GO:0046718]; viral genome integration into host DNA [GO:0044826]; viral penetration into host nucleus [GO:0075732]	GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0006310; GO:0006508; GO:0015074; GO:0030430; GO:0042025; GO:0043657; GO:0044423; GO:0044826; GO:0046718; GO:0046872; GO:0075713; GO:0075732	host cell [GO:0043657]; host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; virion component [GO:0044423]	aspartic-type endopeptidase activity [GO:0004190]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]
Pocillopora_acuta_HIv2___RNAseq.g27126.t1	Q9JIH7	6.66e-165	Serine/threonine-protein kinase WNK1 (EC 2.7.11.1) (Protein kinase lysine-deficient 1) (Protein kinase with no lysine 1)	cell volume homeostasis [GO:0006884]; cellular hyperosmotic response [GO:0071474]; cellular response to calcium ion [GO:0071277]; cellular response to chemokine [GO:1990869]; chemokine (C-C motif) ligand 21 signaling pathway [GO:0038116]; heart development [GO:0007507]; intracellular chloride ion homeostasis [GO:0030644]; intracellular signal transduction [GO:0035556]; lymphocyte migration into lymph node [GO:0097022]; membraneless organelle assembly [GO:0140694]; modulation of chemical synaptic transmission [GO:0050804]; monoatomic cation homeostasis [GO:0055080]; monoatomic ion homeostasis [GO:0050801]; monoatomic ion transport [GO:0006811]; negative regulation of autophagy [GO:0010507]; negative regulation of cell-cell adhesion mediated by integrin [GO:0033633]; negative regulation of heterotypic cell-cell adhesion [GO:0034115]; negative regulation of leukocyte cell-cell adhesion [GO:1903038]; negative regulation of pancreatic juice secretion [GO:0090188]; negative regulation of protein localization to plasma membrane [GO:1903077]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of small GTPase mediated signal transduction [GO:0051058]; negative regulation of sodium ion transport [GO:0010766]; positive regulation of angiogenesis [GO:0045766]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of mitotic cytokinesis [GO:1903490]; positive regulation of potassium ion import across plasma membrane [GO:1903288]; positive regulation of systemic arterial blood pressure [GO:0003084]; positive regulation of T cell chemotaxis [GO:0010820]; positive regulation of termination of RNA polymerase II transcription [GO:1904595]; potassium ion homeostasis [GO:0055075]; protein insertion into ER membrane by stop-transfer membrane-anchor sequence [GO:0045050]; protein phosphorylation [GO:0006468]; regulation of blood pressure [GO:0008217]; regulation of monoatomic cation transmembrane transport [GO:1904062]; regulation of mRNA export from nucleus [GO:0010793]; regulation of sodium ion transmembrane transport [GO:1902305]; regulation of sodium ion transport [GO:0002028]; signal transduction [GO:0007165]; sodium ion transmembrane transport [GO:0035725]; T cell receptor signaling pathway [GO:0050852]	GO:0000287; GO:0002028; GO:0003084; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006468; GO:0006811; GO:0006884; GO:0007165; GO:0007507; GO:0008217; GO:0010507; GO:0010766; GO:0010793; GO:0010820; GO:0016020; GO:0019870; GO:0019901; GO:0019902; GO:0030291; GO:0030295; GO:0030644; GO:0031397; GO:0032991; GO:0033633; GO:0034115; GO:0035556; GO:0035725; GO:0038116; GO:0043232; GO:0045050; GO:0045766; GO:0050801; GO:0050804; GO:0050852; GO:0051058; GO:0055075; GO:0055080; GO:0071277; GO:0071474; GO:0072686; GO:0090188; GO:0090263; GO:0097022; GO:0098982; GO:0106310; GO:0140693; GO:0140694; GO:1902305; GO:1903038; GO:1903077; GO:1903288; GO:1903490; GO:1904062; GO:1904595; GO:1990869	cytoplasm [GO:0005737]; cytosol [GO:0005829]; GABA-ergic synapse [GO:0098982]; intracellular membraneless organelle [GO:0043232]; membrane [GO:0016020]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; molecular condensate scaffold activity [GO:0140693]; phosphatase binding [GO:0019902]; potassium channel inhibitor activity [GO:0019870]; protein kinase activator activity [GO:0030295]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine kinase inhibitor activity [GO:0030291]
Pocillopora_acuta_HIv2___RNAseq.g26215.t1	P09070	1.6e-30	Homeobox protein Hox-B4 (Xhox-1A)	anterior/posterior pattern specification [GO:0009952]; embryonic skeletal system morphogenesis [GO:0048704]; positive regulation of transcription by RNA polymerase II [GO:0045944]	GO:0000978; GO:0000981; GO:0005654; GO:0009952; GO:0045944; GO:0048704	nucleoplasm [GO:0005654]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
Pocillopora_acuta_HIv2___RNAseq.g26258.t1	A2VCU8	3.2e-09	Protein kinase C-binding protein NELL2 (NEL-like protein 2)	fertilization [GO:0009566]	GO:0005509; GO:0005576; GO:0009566	extracellular region [GO:0005576]	calcium ion binding [GO:0005509]
Pocillopora_acuta_HIv2___RNAseq.g7645.t1	Q9BYK8	0	3'-5' exoribonuclease HELZ2 (EC 3.1.13.1) (ATP-dependent RNA helicase PRIC285) (EC 3.6.4.13) (Helicase with zinc finger 2, transcriptional coactivator) (Helicase with zinc finger domain 2) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)	positive regulation of transcription by RNA polymerase II [GO:0045944]; regulatory ncRNA-mediated post-transcriptional gene silencing [GO:0035194]	GO:0003677; GO:0003713; GO:0003723; GO:0003724; GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0008270; GO:0008859; GO:0016020; GO:0016887; GO:0035194; GO:0043186; GO:0045944	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; P granule [GO:0043186]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; exoribonuclease II activity [GO:0008859]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; transcription coactivator activity [GO:0003713]; zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___RNAseq.g29087.t1	Q06AU6	1.91e-24	Ras-related protein Rab-5A (EC 3.6.5.2)	amyloid-beta clearance by transcytosis [GO:0150093]; canonical Wnt signaling pathway [GO:0060070]; early endosome to late endosome transport [GO:0045022]; endocytosis [GO:0006897]; intracellular protein transport [GO:0006886]; modulation by host of viral process [GO:0044788]; phagocytosis [GO:0006909]; positive regulation of exocytosis [GO:0045921]; receptor internalization [GO:0031623]; regulation of endosome size [GO:0051036]; regulation of filopodium assembly [GO:0051489]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of synaptic vesicle exocytosis [GO:2000300]; synaptic vesicle recycling [GO:0036465]	GO:0001726; GO:0003924; GO:0003925; GO:0005525; GO:0005654; GO:0005737; GO:0005768; GO:0005769; GO:0005829; GO:0005886; GO:0006886; GO:0006897; GO:0006909; GO:0012505; GO:0015629; GO:0019003; GO:0030139; GO:0030424; GO:0030425; GO:0030670; GO:0030672; GO:0031623; GO:0032009; GO:0036465; GO:0042470; GO:0043195; GO:0044788; GO:0045022; GO:0045121; GO:0045335; GO:0045921; GO:0048169; GO:0051036; GO:0051489; GO:0060070; GO:0098559; GO:0150093; GO:2000300	actin cytoskeleton [GO:0015629]; axon [GO:0030424]; cytoplasm [GO:0005737]; cytoplasmic side of early endosome membrane [GO:0098559]; cytosol [GO:0005829]; dendrite [GO:0030425]; early endosome [GO:0005769]; early phagosome [GO:0032009]; endocytic vesicle [GO:0030139]; endomembrane system [GO:0012505]; endosome [GO:0005768]; melanosome [GO:0042470]; membrane raft [GO:0045121]; nucleoplasm [GO:0005654]; phagocytic vesicle [GO:0045335]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; synaptic vesicle membrane [GO:0030672]; terminal bouton [GO:0043195]	G protein activity [GO:0003925]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]
Pocillopora_acuta_HIv2___RNAseq.g13355.t1	Q92643	3.57e-167	GPI-anchor transamidase (EC 2.6.1.-) (GPI-anchor transamidase component PIGK, catalytic subunit) (GPI8 homolog) (hGPI8) (Phosphatidylinositol-glycan biosynthesis class K protein) (PIG-K)	attachment of GPI anchor to protein [GO:0016255]; GPI anchor biosynthetic process [GO:0006506]; GPI anchored protein biosynthesis [GO:0180046]; proteolysis [GO:0006508]	GO:0003923; GO:0005789; GO:0006506; GO:0006508; GO:0016020; GO:0016255; GO:0042765; GO:0180046	endoplasmic reticulum membrane [GO:0005789]; GPI-anchor transamidase complex [GO:0042765]; membrane [GO:0016020]	GPI-anchor transamidase activity [GO:0003923]
Pocillopora_acuta_HIv2___RNAseq.g16513.t1	Q6AXX1	7.71e-23	Schlafen-like protein 1		GO:0005524		ATP binding [GO:0005524]
Pocillopora_acuta_HIv2___TS.g26495.t2	A7YWG4	1.54e-69	Gamma-glutamyl hydrolase (EC 3.4.19.9) (Conjugase) (GH) (Gamma-Glu-X carboxypeptidase)	tetrahydrofolylpolyglutamate metabolic process [GO:0046900]	GO:0005615; GO:0005764; GO:0005773; GO:0034722; GO:0042470; GO:0046900	extracellular space [GO:0005615]; lysosome [GO:0005764]; melanosome [GO:0042470]; vacuole [GO:0005773]	gamma-glutamyl-peptidase activity [GO:0034722]
Pocillopora_acuta_HIv2___RNAseq.g23643.t1b	O15118	7.57e-19	NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein)	adult walking behavior [GO:0007628]; autophagy [GO:0006914]; bile acid metabolic process [GO:0008206]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; cellular response to steroid hormone stimulus [GO:0071383]; cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; cholesterol storage [GO:0010878]; cholesterol transport [GO:0030301]; cyclodextrin metabolic process [GO:2000900]; endocytosis [GO:0006897]; establishment of protein localization to membrane [GO:0090150]; gene expression [GO:0010467]; intestinal cholesterol absorption [GO:0030299]; intracellular cholesterol transport [GO:0032367]; intracellular lipid transport [GO:0032365]; liver development [GO:0001889]; lysosomal transport [GO:0007041]; macroautophagy [GO:0016236]; membrane raft organization [GO:0031579]; negative regulation of epithelial cell apoptotic process [GO:1904036]; negative regulation of macroautophagy [GO:0016242]; negative regulation of TORC1 signaling [GO:1904262]; neurogenesis [GO:0022008]; programmed cell death [GO:0012501]; protein glycosylation [GO:0006486]; response to cadmium ion [GO:0046686]; response to xenobiotic stimulus [GO:0009410]; sterol transport [GO:0015918]; symbiont entry into host cell [GO:0046718]	GO:0001618; GO:0001889; GO:0004888; GO:0005576; GO:0005635; GO:0005764; GO:0005765; GO:0005783; GO:0005794; GO:0005886; GO:0006486; GO:0006897; GO:0006914; GO:0007041; GO:0007628; GO:0008203; GO:0008206; GO:0009410; GO:0010467; GO:0010878; GO:0012501; GO:0015485; GO:0015918; GO:0016020; GO:0016236; GO:0016242; GO:0022008; GO:0030299; GO:0030301; GO:0031579; GO:0031902; GO:0032365; GO:0032367; GO:0033344; GO:0038023; GO:0042632; GO:0045121; GO:0046686; GO:0046718; GO:0048471; GO:0070062; GO:0071383; GO:0071404; GO:0090150; GO:0120020; GO:1904036; GO:1904262; GO:2000900	endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; membrane raft [GO:0045121]; nuclear envelope [GO:0005635]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	cholesterol binding [GO:0015485]; cholesterol transfer activity [GO:0120020]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; virus receptor activity [GO:0001618]
